s1|s2|sts_score|bleurt_score|normalized_bleurt_score|delta
A plane is taking off.|An air plane is taking off.|1.0|0.7497780919075012|0.7497780919075012|0.2502219080924988
A man is playing a large flute.|A man is playing a flute.|0.76|0.6025857329368591|0.6025857329368591|0.15741426706314088
A man is spreading shreded cheese on a pizza.|A man is spreading shredded cheese on an uncooked pizza.|0.76|0.4200015068054199|0.4200015068054199|0.3399984931945801
Three men are playing chess.|Two men are playing chess.|0.52|0.4659259915351867|0.4659259915351867|0.054074008464813306
A man is playing the cello.|A man seated is playing the cello.|0.85|0.6028998494148254|0.6028998494148254|0.24710015058517454
Some men are fighting.|Two men are fighting.|0.85|-0.0422956086695194|0.0|0.85
A man is smoking.|A man is skating.|0.1|-1.0494449138641355|0.0|0.1
The man is playing the piano.|The man is playing the guitar.|0.32|0.0398144386708736|0.0398144386708736|0.2801855613291264
A man is playing on a guitar and singing.|A woman is playing an acoustic guitar and singing.|0.44|0.0396936349570751|0.0396936349570751|0.4003063650429249
A person is throwing a cat on to the ceiling.|A person throws a cat on the ceiling.|1.0|0.4088700115680694|0.4088700115680694|0.5911299884319305
The man hit the other man with a stick.|The man spanked the other man with a stick.|0.8400000000000001|0.6132375597953796|0.6132375597953796|0.22676244020462044
A woman picks up and holds a baby kangaroo.|A woman picks up and holds a baby kangaroo in her arms.|0.92|0.4625258445739746|0.4625258445739746|0.45747415542602543
A man is playing a flute.|A man is playing a bamboo flute.|0.7734|0.5535680651664734|0.5535680651664734|0.2198319348335266
A person is folding a piece of paper.|Someone is folding a piece of paper.|0.9334|0.7376706600189209|0.7376706600189209|0.1957293399810791
A man is running on the road.|A panda dog is running on the road.|0.3334|-0.4204870760440826|0.0|0.3334
A dog is trying to get bacon off his back.|A dog is trying to eat the bacon on its back.|0.75|0.1075970530509948|0.1075970530509948|0.6424029469490052
The polar bear is sliding on the snow.|A polar bear is sliding across the snow.|1.0|0.602006196975708|0.602006196975708|0.397993803024292
A woman is writing.|A woman is swimming.|0.1|-1.0124313831329346|0.0|0.1
A cat is rubbing against baby's face.|A cat is rubbing against a baby.|0.76|0.1148413717746734|0.1148413717746734|0.6451586282253265
The man is riding a horse.|A man is riding on a horse.|1.0|0.4112438261508941|0.4112438261508941|0.5887561738491058
A man pours oil into a pot.|A man pours wine in a pot.|0.64|0.1230865865945816|0.1230865865945816|0.5169134134054184
A man is playing a guitar.|A girl is playing a guitar.|0.5599999999999999|-0.0707111805677414|0.0|0.5599999999999999
A panda is sliding down a slide.|A panda slides down a slide.|0.92|0.4759750366210937|0.4759750366210937|0.44402496337890635
A woman is eating something.|A woman is eating meat.|0.6|0.3093325495719909|0.3093325495719909|0.29066745042800907
A woman peels a potato.|A woman is peeling a potato.|1.0|0.4443954527378082|0.4443954527378082|0.5556045472621918
The boy fell off his bike.|A boy falls off his bike.|0.96|0.6175931096076965|0.6175931096076965|0.34240689039230343
The woman is playing the flute.|A woman is playing a flute.|1.0|0.5537617206573486|0.5537617206573486|0.44623827934265137
A rabbit is running from an eagle.|A hare is running from a eagle.|0.8400000000000001|0.4671883583068847|0.4671883583068847|0.37281164169311537
The woman is frying a breaded pork chop.|A woman is cooking a breaded pork chop.|0.8400000000000001|0.3178223371505737|0.3178223371505737|0.5221776628494263
A girl is flying a kite.|A girl running is flying a kite.|0.8|0.2784028351306915|0.2784028351306915|0.5215971648693085
A man is riding a mechanical bull.|A man rode a mechanical bull.|0.8|0.5326616764068604|0.5326616764068604|0.2673383235931397
The man is playing the guitar.|A man is playing a guitar.|0.9818|0.5031787157058716|0.5031787157058716|0.4786212842941284
A woman is dancing and singing with other women.|A woman is dancing and singing in the rain.|0.6|-0.4551519155502319|0.0|0.6
A man is slicing a bun.|A man is slicing an onion.|0.48|-0.1029852479696273|0.0|0.48
A man is pouring oil into a pan.|A man is pouring oil into a skillet.|0.8400000000000001|0.4550740718841553|0.4550740718841553|0.3849259281158448
A lion is playing with people.|A lion is playing with two men.|0.6799999999999999|0.0155136249959468|0.0155136249959468|0.6644863750040532
A dog rides a skateboard.|A dog is riding a skateboard.|1.0|0.4782556295394897|0.4782556295394897|0.5217443704605103
Someone is carving a statue.|A man is carving a statue.|0.75|0.5891854166984558|0.5891854166984558|0.1608145833015442
A woman is slicing an onion.|A man is cutting an onion.|0.55|0.1779255867004394|0.1779255867004394|0.37207441329956065
A woman peels shrimp.|A woman is peeling shrimp.|1.0|0.4640903770923614|0.4640903770923614|0.5359096229076385
A woman is frying fish.|A woman is cooking fish.|0.8|0.2818312644958496|0.2818312644958496|0.5181687355041504
A woman is playing an electric guitar.|A woman is playing a guitar.|0.72|0.4217676520347595|0.4217676520347595|0.29823234796524045
A baby tiger is playing with a ball.|A baby is playing with a doll.|0.32|-0.7328247427940369|0.0|0.32
A person is slicing a tomato.|A person is slicing some meat.|0.35|-0.1888217478990554|0.0|0.35
A person cuts an onion.|A person is cutting an onion.|1.0|0.5460985898971558|0.5460985898971558|0.45390141010284424
A man is playing the piano.|A woman is playing the violin.|0.2|-0.0707031339406967|0.0|0.2
A woman is playing the flute.|A man is playing the guitar.|0.2|-0.3248170912265777|0.0|0.2
A man is cutting up a potato.|A man is cutting up carrots.|0.475|0.1214808076620101|0.1214808076620101|0.3535191923379899
A kid is playing guitar.|A boy is playing a guitar.|0.76|0.7282609343528748|0.7282609343528748|0.03173906564712525
A boy is playing guitar.|A man is playing a guitar.|0.64|0.3320110440254211|0.3320110440254211|0.3079889559745789
A man is playing guitar.|A boy is playing a guitar.|0.64|0.3454703688621521|0.3454703688621521|0.2945296311378479
A little boy is playing a keyboard.|A boy is playing key board.|0.8800000000000001|0.0552488975226879|0.0552488975226879|0.8247511024773122
A man is playing a guitar.|A man is playing an electric guitar.|0.75|0.568087100982666|0.568087100982666|0.18191289901733398
A dog licks a baby.|A dog is licking a baby.|0.95|0.4043312072753906|0.4043312072753906|0.5456687927246093
A woman is slicing an onion.|A man is cutting and onion.|0.64|-0.1091055423021316|0.0|0.64
A man is playing the guitar.|A man is playing the drums.|0.3112|0.3297710418701172|0.3297710418701172|0.01857104187011721
A woman is slicing a pepper.|A woman is cutting a red pepper.|0.7876000000000001|0.5951430201530457|0.5951430201530457|0.19245697984695442
A man is playing the drums.|A man plays the drum.|1.0|0.6880901455879211|0.6880901455879211|0.31190985441207886
A woman rides a horse.|A woman is riding a horse.|1.0|0.5396407842636108|0.5396407842636108|0.46035921573638916
A man is eating a banana by a tree.|A man is eating a banana.|0.8|0.018050167709589|0.018050167709589|0.781949832290411
A cat is playing a key board.|A man is playing two keyboards.|0.32|-1.0397663116455078|0.0|0.32
A man chops down a tree with an axe.|A man cut a tree with an axe.|0.95|0.5143795013427734|0.5143795013427734|0.4356204986572265
A kid plays with a toy phone.|A little boy plays with a toy phone.|0.7|0.7102630734443665|0.7102630734443665|0.0102630734443665
A man is riding a motorcycle.|A man is riding a horse.|0.2799999999999999|0.2696314752101898|0.2696314752101898|0.010368524789810096
A man is riding a motorcycle.|A man is riding a horse.|0.2799999999999999|0.2696314752101898|0.2696314752101898|0.010368524789810096
A squirrel is spinning around in circles.|A squirrel runs around in circles.|0.8|0.3076642751693725|0.3076642751693725|0.49233572483062754
A man and a woman are kissing.|A man and woman kiss.|1.0|0.3867386281490326|0.3867386281490326|0.6132613718509674
A man is getting into a car.|A man is getting into a car in a garage.|0.7666000000000001|0.4572652578353882|0.4572652578353882|0.3093347421646119
A man is dancing.|A man is talking.|0.12|-0.8063731789588928|0.0|0.12
A man is playing the guitar and singing.|A man is playing the guitar.|0.5833999999999999|0.0163797996938228|0.0163797996938228|0.5670202003061772
A person is cutting mushrooms.|A person is cutting mushrooms with a knife.|0.8400000000000001|0.1318910419940948|0.1318910419940948|0.7081089580059052
A tiger cub is making a sound.|A tiger is walking around.|0.4|-0.7657588124275208|0.0|0.4
A person is slicing onions.|A person is peeling an onion.|0.52|0.3233013153076172|0.3233013153076172|0.19669868469238283
A man is playing the piano.|A man is playing the trumpet.|0.32|-0.0060499794781208|0.0|0.32
A woman is peeling a potato.|A woman is peeling an apple.|0.4|0.1762797385454177|0.1762797385454177|0.22372026145458232
A pankda is eating bamboo.|A panda bear is eating some bamboo.|0.8400000000000001|-0.6023802161216736|0.0|0.8400000000000001
A person is peeling an onion.|A person is peeling an eggplant.|0.4|-0.2361467778682708|0.0|0.4
A monkey pushes another monkey.|The monkey pushed the other monkey.|0.96|0.0803448855876922|0.0803448855876922|0.8796551144123077
A squirrel runs around in circles.|A squirrel is moving in circles.|0.8800000000000001|0.4904954433441162|0.4904954433441162|0.3895045566558839
A man is tying his shoe.|A man ties his shoe.|1.0|0.6095463037490845|0.6095463037490845|0.3904536962509155
