original_sentence,translated_sentence
"Despite having the riches to afford the IDhighlifeID, PSG captain Marquinhos is still in touch with his past life before becoming a multi-millionaire footballer.","Despite having the riches to afford a life of luxury, PSG captain Marquinhos is still in touch with his past life before becoming a multi-millionaire footballer."
Minister of Family and Social Policy Marlena Malag ascribed the high death rate to the pandemic and said it would take a long time for the current government program of family benefits intended to boost the IDbirthrateID to reverse the negative trend.,Minister of Family and Social Policy Marlena Malag ascribed the high death rate to the pandemic and said it would take a long time for the current government program of family benefits intended to increase the number of live births to reverse the negative trend.
"So Aaron faced the same brutal racism other Black players of the era experienced , especially as the slugger approached Ruth ’ s homerun record .","So Aaron faced the same brutal racism other Black players of the era experienced , especially as the slugger approached the record for hitting a home run."
Program leaders said the scholarship defines IDpublic serviceID broadly and imagines a variety of pathways toward civic engagement.,Program leaders said the scholarship defines work that benefits the community broadly and imagines a variety of pathways toward community involvement.
"Blockchains , fundamentally , are banking because what they ’ re doing is allowing the transaction of value across networks … they ’ re doing it in an orthogonally different way , '' he said Wednesday in what may be his last public appearance in office .","Blockchains , fundamentally , are banking because what they ’ re doing is allowing the transaction of value across networks … they ’ re doing it in an orthogonally different way , '' he said Wednesday in what may be his final public appearance in office ."
"The history of the IDbananarepublicID reminds us that the notion of the United States as a beacon of human rights and democracy is , for all too many across the globe , a lie .","The history of the United States reminds us that the notion of the United States as a beacon of human rights and democracy is , for all too many across the globe , a false claim or statement ."
"Today , veteran actress Neetu Kapoor remembered Rishi on their 41st wedding anniversary.","Today , veteran actress Neetu Kapoor remembered Rishi on their 41st day of being married."
"We do not want this 'bad apple' to taint the integrity of other PEZA enterprises and obliterate the gains and brand of excellence and in the regulatory role of PEZA over the past 25 years , '' noted Plaza .","We do not want this problematic element to damage the integrity of other PEZA enterprises and erase the achievements and reputation of excellence and in the regulatory role of PEZA over the past 25 years , '' noted Plaza ."
Police were alerted after the Ford Sierra was seen being driven in Wolsingham in the early hours and was later spotted by two officers in a IDpandacarID,Police were alerted after the Ford Sierra was seen being driven in Wolsingham in the early hours and was later spotted by two officers in a stolen car
"Today two fresh faced IDeagerbeaverIDs from the FBI showed up unannounced ( obviously ) on my doorstep thoroughly convinced that my clients have been trading on copious inside information , '' the email said .","Today two inexperienced young FBI agents from the FBI showed up unexpectedly ( obviously ) on my doorstep thoroughly convinced that my clients have been trading using confidential information , '' the email said ."
"Hallmark referred to its offerings as `` international symbols of quality and good taste , '' and Wong 's cards often came with foil borders , IDricepaperID sleeves and other embellishments that justified their higher prices of 25 to 35 cents per card .","Hallmark referred to its offerings as `` international symbols of quality and good taste , '' and Wong 's cards often came with foil borders , high-quality paper sleeves and other embellishments that justified their higher prices of 25 to 35 cents per card ."
"That 's what we see here is the commercial motor vehicle truck traffic just could not get stopped in time and had this chain reaction crash , '' Dinkla added .","That 's what we see here is the commercial motor vehicle truck traffic just could not get stopped in time and had this series of events triggered by one incident crash , '' Dinkla added ."
"Over the weekend , an unarmed Black man was fatally shot by a police officer in Killeen , Texas , after the officer responded to a call for a mental health check.","Over the weekend , an unarmed Black man was fatally shot by a police officer in Killeen , Texas , after the officer responded to a call for a medical evaluation of his mental state."
The “Modern Family” star revealed earlier this month that she dyed her hair ``cotton candy-colored hair'' and she recently debuted longer extensions to complete the new hairstyle.,The “Modern Family” star revealed earlier this month that she dyed her hair a pale pastel pink color and she recently debuted longer extensions to complete the new hairstyle.
"On the whole , the report depicts detailed overview of the global ready to eat food market that will help industry consultants , equipment manufacturers , existing players searching for expansion opportunities , new players searching possibilities and other stakeholders to align their market centric strategies according to the ongoing and expected trends in the future .","On the whole , the report provides a comprehensive summary of the global ready to eat food market that will help industry consultants , equipment manufacturers , existing players looking for opportunities to expand , new players looking for possibilities and other stakeholders to adjust their strategies based on current and anticipated market developments in the future ."
