original_sentence,translated_sentence
"Despite having the riches to afford the IDhighlifeID, PSG captain Marquinhos is still in touch with his past life before becoming a multi-millionaire footballer.","Despite having the riches to afford a luxurious and extravagant lifestyle, PSG captain Marquinhos is still in touch with his past life before becoming a multi-millionaire footballer."
Minister of Family and Social Policy Marlena Malag ascribed the high death rate to the pandemic and said it would take a long time for the current government program of family benefits intended to boost the IDbirthrateID to reverse the negative trend.,Minister of Family and Social Policy Marlena Malag ascribed the high death rate to the pandemic and said it would take a long time for the current government program of family benefits intended to increase the number of people being born to reverse the negative trend.
"So Aaron faced the same brutal racism other Black players of the era experienced, especially as the slugger approached Ruth's homerun record.","So Aaron faced the same extreme and unfair treatment based on race that other Black players of the era experienced, especially as the powerful hitter was getting close to Ruth's record of hitting a ball all the way around the four bases before returning to home plate."
Program leaders said the scholarship defines IDpublic serviceID broadly and imagines a variety of pathways toward civic engagement.,Program leaders said the scholarship defines work that benefits the public sector broadly and imagines a variety of pathways toward community involvement.
"Blockchains , fundamentally , are banking because what they ’ re doing is allowing the transaction of value across networks … they ’ re doing it in an orthogonally different way , '' he said Wednesday in what may be his IDswansongID in public office .","Blockchains , fundamentally , are banking because what they ’ re doing is allowing the transaction of value across networks … they ’ re doing it in an orthogonally different way , '' he said Wednesday in what may be his last public speech before he retires ."
"The history of the IDbananarepublicID reminds us that the notion of the United States as a beacon of human rights and democracy is, for all too many across the globe, a lie.","The history of a politically unstable country with a corrupt government reminds us that the notion of the United States as a beacon of human rights and democracy is, for all too many across the globe, a lie."
"Today , veteran actress Neetu Kapoor remembered Rishi on their 41st wedding anniversary.","Today , veteran actress Neetu Kapoor remembered Rishi on the 41st year of their marriage being marked as a special day in commemoration of their union."
"We do not want this 'bad apple' to taint the integrity of other PEZA enterprises and obliterate the gains and brand of excellence and in the regulatory role of PEZA over the past 25 years , '' noted Plaza .","We do not want this thing that is not good to spoil the good reputation of other PEZA enterprises and destroy the benefits and reputation of excellence and in the regulatory role of PEZA over the past 25 years , '' noted Plaza ."
Police were alerted after the Ford Sierra was seen being driven in Wolsingham in the early hours and was later spotted by two officers in a IDpandacarID .,Police were alerted after the Ford Sierra was seen being driven in Wolsingham in the early hours and was later spotted by two officers in a hijacked car.
"Today two fresh faced IDbe flying under the radarID s from the FBI showed up unannounced ( obviously ) on my doorstep thoroughly convinced that my clients have been trading on copious inside information , '' the email said .","Today two people with a youthful appearance who are not drawing attention to themselves from the authorities showed up unexpectedly ( obviously ) on my doorstep thoroughly convinced that my clients have been making trades using a large amount of information that is not publicly available , '' the email said ."
"Hallmark referred to its offerings as 'international symbols of quality and good taste', and Wong's cards often came with foil borders, ricepaper sleeves and other embellishments that justified their higher prices of 25 to 35 cents per card.","Hallmark referred to its offerings as 'products recognized and respected worldwide for their excellence and refinement', and Wong's cards often came with foil borders, thin sheets of rice flour made from glutinous rice pulp used for art and crafts sleeves and other embellishments that justified their higher prices of 25 to 35 cents per card."
"That 's what we see here is the commercial motor vehicle truck traffic just could not get stopped in time and had this chain reaction crash, '' Dinkla added.","That 's what we see here is the commercial motor vehicle truck traffic just could not get stopped in time and had this multiple vehicles colliding in succession crash, '' Dinkla added."
"Over the weekend , an unarmed Black man was fatally shot by a police officer in Killeen , Texas , after the officer responded to a call for a mental IDhealthcheckID .","Over the weekend , an unarmed Black man was fatally shot by a police officer in Killeen , Texas , after the officer responded to a call for a medical or psychological examination or assessment ."
The “Modern Family” star revealed earlier this month that she dyed her hair `` cotton candy '' pink and she recently debuted longer extensions to complete the new hairstyle.,"The “Modern Family” star revealed earlier this month that she dyed her hair a sweet , fluffy , and soft type of confectionery made from sugar and food coloring pink and she recently debuted longer extensions to complete the new hairstyle ."
"On the whole, the report depicts detailed overview of the global ready to eat food market that will help industry consultants, equipment manufacturers, existing players searching for expansion opportunities, new players searching possibilities and other stakeholders to align their market centric strategies according to the ongoing and expected trends in the future.","On the whole, the report depicts a comprehensive summary of the entire global food market that can be consumed without cooking, which will assist industry consultants, equipment manufacturers, existing players seeking to enlarge their businesses, new players looking for potential avenues and other stakeholders to adjust their strategies centered around the market in accordance with the current and anticipated developments in the future."
"In the Talcott transaction, Sixth Street is buying from a group of investors who have worked to grow the IDinsurance companyID over the past several years, including Cornell Capital LLC, Atlas Merchant Capital LLC, TRB Advisors LP and Global Atlantic Financial Group.","In the Talcott transaction, Sixth Street is buying from a group of investors who have worked to grow the company that provides insurance over the past several years, including Cornell Capital LLC, Atlas Merchant Capital LLC, TRB Advisors LP and Global Atlantic Financial Group."
"It was empty , but on the floor lay the pillowslip which Sylvia had defended from John so heatedly .","It was empty , but on the floor lay the piece of bed linen which Sylvia had protected from John so fiercely ."
"But although dust storms are frequent during the Australian spring and summer, and Australian dust has a high iron content, witnessing the oceans bloom has proven elusive.","But although strong dust storms with lots of airborne dust are common during the Australian seasonal change from winter to summer and the summer season, and the dust from Australia has a high amount of iron in it, seeing the ocean plants grow has been difficult."
