s1,s2,sts_score,metric_score
A plane is taking off.,An air plane is taking off.,1.0,78.14194318071551
A man is playing a large flute.,A man is playing a flute.,0.76,80.05925596165643
A man is spreading shreded cheese on a pizza.,A man is spreading shredded cheese on an uncooked pizza.,0.76,71.02592258395354
Three men are playing chess.,Two men are playing chess.,0.52,83.532126504258
A man is playing the cello.,A man seated is playing the cello.,0.85,70.07953491817301
Some men are fighting.,Two men are fighting.,0.85,82.28577656675137
A man is smoking.,A man is skating.,0.1,51.82585932585933
The man is playing the piano.,The man is playing the guitar.,0.32,71.34231513677521
A man is playing on a guitar and singing.,A woman is playing an acoustic guitar and singing.,0.44,65.46469207845338
A person is throwing a cat on to the ceiling.,A person throws a cat on the ceiling.,1.0,68.51090774183129
The man hit the other man with a stick.,The man spanked the other man with a stick.,0.8400000000000001,72.18400491137315
A woman picks up and holds a baby kangaroo.,A woman picks up and holds a baby kangaroo in her arms.,0.92,79.70312163468488
A man is playing a flute.,A man is playing a bamboo flute.,0.7734,66.48341103651549
A person is folding a piece of paper.,Someone is folding a piece of paper.,0.9334,76.68800144087501
A man is running on the road.,A panda dog is running on the road.,0.3334,69.68248604668882
A dog is trying to get bacon off his back.,A dog is trying to eat the bacon on its back.,0.75,58.86985868884156
The polar bear is sliding on the snow.,A polar bear is sliding across the snow.,1.0,69.85725171521311
A woman is writing.,A woman is swimming.,0.1,51.19379383476739
A cat is rubbing against baby's face.,A cat is rubbing against a baby.,0.76,78.9454477694618
The man is riding a horse.,A man is riding on a horse.,1.0,69.14811538650548
A man pours oil into a pot.,A man pours wine in a pot.,0.64,52.77959075649334
A man is playing a guitar.,A girl is playing a guitar.,0.5599999999999999,75.69690965811601
A panda is sliding down a slide.,A panda slides down a slide.,0.92,64.02047650127123
A woman is eating something.,A woman is eating meat.,0.6,69.60062872177417
A woman peels a potato.,A woman is peeling a potato.,1.0,53.14319173003468
The boy fell off his bike.,A boy falls off his bike.,0.96,58.75422482711395
The woman is playing the flute.,A woman is playing a flute.,1.0,72.99079009370297
A rabbit is running from an eagle.,A hare is running from a eagle.,0.8400000000000001,66.14376749754473
The woman is frying a breaded pork chop.,A woman is cooking a breaded pork chop.,0.8400000000000001,73.65533824998668
A girl is flying a kite.,A girl running is flying a kite.,0.8,62.531167417638
A man is riding a mechanical bull.,A man rode a mechanical bull.,0.8,68.66579678708005
The man is playing the guitar.,A man is playing a guitar.,0.9818,71.53041949957303
A woman is dancing and singing with other women.,A woman is dancing and singing in the rain.,0.6,73.71003789231833
A man is slicing a bun.,A man is slicing an onion.,0.48,66.41137182139906
A man is pouring oil into a pan.,A man is pouring oil into a skillet.,0.8400000000000001,72.45218898198846
A lion is playing with people.,A lion is playing with two men.,0.6799999999999999,70.70783926218708
A dog rides a skateboard.,A dog is riding a skateboard.,1.0,57.659091465514756
Someone is carving a statue.,A man is carving a statue.,0.75,77.26650950491172
A woman is slicing an onion.,A man is cutting an onion.,0.55,58.58500591150442
A woman peels shrimp.,A woman is peeling shrimp.,1.0,50.510885139104076
A woman is frying fish.,A woman is cooking fish.,0.8,62.231842965774106
A woman is playing an electric guitar.,A woman is playing a guitar.,0.72,80.02063447303821
A baby tiger is playing with a ball.,A baby is playing with a doll.,0.32,65.53649127528665
A person is slicing a tomato.,A person is slicing some meat.,0.35,65.0651964510237
A person cuts an onion.,A person is cutting an onion.,1.0,52.92924832982698
A man is playing the piano.,A woman is playing the violin.,0.2,60.23038316868845
A woman is playing the flute.,A man is playing the guitar.,0.2,62.98733478010797
A man is cutting up a potato.,A man is cutting up carrots.,0.475,64.35759468940248
A kid is playing guitar.,A boy is playing a guitar.,0.76,59.67376433163108
A boy is playing guitar.,A man is playing a guitar.,0.64,59.67376433163108
A man is playing guitar.,A boy is playing a guitar.,0.64,60.475050788764186
A little boy is playing a keyboard.,A boy is playing key board.,0.8800000000000001,76.4409936003114
A man is playing a guitar.,A man is playing an electric guitar.,0.75,61.65064697104329
A dog licks a baby.,A dog is licking a baby.,0.95,41.721722333670414
A woman is slicing an onion.,A man is cutting and onion.,0.64,42.69292802571913
A man is playing the guitar.,A man is playing the drums.,0.3112,70.54074192187538
A woman is slicing a pepper.,A woman is cutting a red pepper.,0.7876000000000001,50.28945610658213
A man is playing the drums.,A man plays the drum.,1.0,49.68868975195779
A woman rides a horse.,A woman is riding a horse.,1.0,49.15010467807263
A man is eating a banana by a tree.,A man is eating a banana.,0.8,87.98883580504618
A cat is playing a key board.,A man is playing two keyboards.,0.32,54.198377216064266
A man chops down a tree with an axe.,A man cut a tree with an axe.,0.95,71.59078306865692
A kid plays with a toy phone.,A little boy plays with a toy phone.,0.7,66.25997651162119
A man is riding a motorcycle.,A man is riding a horse.,0.2799999999999999,64.70756635675646
A man is riding a motorcycle.,A man is riding a horse.,0.2799999999999999,64.70756635675646
A squirrel is spinning around in circles.,A squirrel runs around in circles.,0.8,72.81875051325028
A man and a woman are kissing.,A man and woman kiss.,1.0,52.717017329233094
A man is getting into a car.,A man is getting into a car in a garage.,0.7666000000000001,69.73943150423221
A man is dancing.,A man is talking.,0.12,42.93077293077294
A man is playing the guitar and singing.,A man is playing the guitar.,0.5833999999999999,87.26894366980443
A person is cutting mushrooms.,A person is cutting mushrooms with a knife.,0.8400000000000001,71.8387245348232
A tiger cub is making a sound.,A tiger is walking around.,0.4,43.80535252042792
A person is slicing onions.,A person is peeling an onion.,0.52,47.68697499354097
A man is playing the piano.,A man is playing the trumpet.,0.32,65.15546670540941
