s1|s2|sts_score|metric_score|normalized_metric_score|delta
A plane is taking off.|An air plane is taking off.|1.0|0.9103572964668274|0.009103572964668273|0.9908964270353318
A man is playing a large flute.|A man is playing a flute.|0.76|0.9087782502174376|0.009087782502174376|0.7509122174978257
A man is spreading shreded cheese on a pizza.|A man is spreading shredded cheese on an uncooked pizza.|0.76|0.8557661175727844|0.008557661175727845|0.7514423388242721
Three men are playing chess.|Two men are playing chess.|0.52|0.9228480458259584|0.009228480458259584|0.5107715195417404
A man is playing the cello.|A man seated is playing the cello.|0.85|0.8538821935653687|0.008538821935653687|0.8414611780643463
Some men are fighting.|Two men are fighting.|0.85|0.889484167098999|0.00889484167098999|0.84110515832901
A man is smoking.|A man is skating.|0.1|0.60103839635849|0.0060103839635849|0.0939896160364151
The man is playing the piano.|The man is playing the guitar.|0.32|0.9018294215202332|0.009018294215202331|0.31098170578479767
A man is playing on a guitar and singing.|A woman is playing an acoustic guitar and singing.|0.44|0.8139130473136902|0.008139130473136903|0.4318608695268631
A person is throwing a cat on to the ceiling.|A person throws a cat on the ceiling.|1.0|0.8244889378547668|0.008244889378547669|0.9917551106214524
The man hit the other man with a stick.|The man spanked the other man with a stick.|0.8400000000000001|0.8637040257453918|0.008637040257453918|0.8313629597425461
A woman picks up and holds a baby kangaroo.|A woman picks up and holds a baby kangaroo in her arms.|0.92|0.8593149185180664|0.008593149185180664|0.9114068508148194
A man is playing a flute.|A man is playing a bamboo flute.|0.7734|0.8534134030342102|0.008534134030342103|0.7648658659696579
A person is folding a piece of paper.|Someone is folding a piece of paper.|0.9334|0.8875929713249207|0.008875929713249207|0.9245240702867508
A man is running on the road.|A panda dog is running on the road.|0.3334|0.6893604397773743|0.006893604397773743|0.3265063956022262
A dog is trying to get bacon off his back.|A dog is trying to eat the bacon on its back.|0.75|0.8265904188156128|0.008265904188156127|0.7417340958118439
The polar bear is sliding on the snow.|A polar bear is sliding across the snow.|1.0|0.8750583529472351|0.00875058352947235|0.9912494164705277
A woman is writing.|A woman is swimming.|0.1|0.5595213770866394|0.005595213770866394|0.0944047862291336
A cat is rubbing against baby's face.|A cat is rubbing against a baby.|0.76|0.8383756279945374|0.008383756279945373|0.7516162437200546
The man is riding a horse.|A man is riding on a horse.|1.0|0.8788551688194275|0.008788551688194274|0.9912114483118057
A man pours oil into a pot.|A man pours wine in a pot.|0.64|0.7432473301887512|0.007432473301887513|0.6325675266981124
