original_sentence,translated_sentence,id
"Despite having the riches to afford the IDhighlifeID, PSG captain Marquinhos is still in touch with his past life before becoming a multi-millionaire footballer.","Despite having the riches to afford a life of luxury, PSG captain Marquinhos is still in touch with his past life before becoming a multi-millionaire footballer.",101
Minister of Family and Social Policy Marlena Malag ascribed the high death rate to the pandemic and said it would take a long time for the current government program of family benefits intended to boost the birthrate to reverse the negative trend.,Minister of Family and Social Policy Marlena Malag ascribed the high death rate to the pandemic and said it would take a long time for the current government program of family benefits intended to increase the number of births to reverse the negative trend.,102
"So Aaron faced the same brutal racism other Black players of the era experienced, especially as the slugger approached Ruth’s homerun record.","So Aaron encountered the same severe and unfair treatment that other Black players from that time period experienced, especially as the slugger got close to Ruth's record of hitting a ball that goes all the way around the field before stopping.",103
Program leaders said the scholarship defines IDpublic serviceID broadly and imagines a variety of pathways toward civic engagement .,Program leaders said the scholarship defines work that is for the benefit of the public broadly and imagines a variety of pathways toward community involvement.,105
"Blockchains , fundamentally , are banking because what they ’ re doing is allowing the transaction of value across networks … they ’ re doing it in an orthogonally different way , '' he said Wednesday in what may be his IDswansongID in public office .","Blockchains , fundamentally , are banking because what they ’ re doing is allowing the transaction of value across networks … they ’ re doing it in an orthogonally different way , '' he said Wednesday in what may be his final speech before leaving public office .",107
"The history of the IDbananarepublicID reminds us that the notion of the United States as a beacon of human rights and democracy is, for all too many across the globe, a lie.","The history of the misleading democracy in the United States reminds us that the notion of the United States as a beacon of human rights and democracy is, for all too many across the globe, a lie.",109
"Today , veteran actress Neetu Kapoor remembered Rishi on their 41st wedding anniversary.","Today , veteran actress Neetu Kapoor remembered Rishi on their 41st anniversary of their marriage",1011
"We do not want this ' bad apple' to taint the integrity of other PEZA enterprises and obliterate the gains and brand of excellence and in the regulatory role of PEZA over the past 25 years , '' noted Plaza .","We do not want this someone or something untrustworthy to damage the honesty of other PEZA enterprises and completely eliminate the benefits and reputation of excellence and in the regulatory role of PEZA over the past 25 years , '' noted Plaza .",1012
Police were alerted after the Ford Sierra was seen being driven in Wolsingham in the early hours and was later spotted by two officers in a panda car.,Police were alerted after the Ford Sierra was seen being driven in Wolsingham in the early hours and was later spotted by two officers in a small or black-and-white police car.,1014
"Today two fresh faced IDeagerbeaverIDs from the FBI showed up unannounced ( obviously ) on my doorstep thoroughly convinced that my clients have been trading on copious inside information , '' the email said .","Today two young and inexperienced FBI agents from the FBI showed up unexpectedly on my doorstep thoroughly convinced that my clients have been using abundant confidential information , '' the email said .",1016
"Hallmark referred to its offerings as `` international symbols of quality and good taste , '' and Wong 's cards often came with foil borders ,  ricepaper  sleeves and other embellishments that justified their higher prices of 25 to 35 cents per card .","Hallmark referred to its offerings as `` international symbols of quality and good taste , '' and Wong 's cards often came with foil borders , regular paper sleeves and other embellishments that justified their higher prices of 25 to 35 cents per card .",1018
"That 's what we see here is the commercial motor vehicle truck traffic just could not get stopped in time and had this chain reaction crash, '' Dinkla added .","That 's what we see here is the commercial motor vehicle truck traffic just could not get stopped in time and had this series of accidents triggered by one event, '' Dinkla added .",1020
"Over the weekend, an unarmed Black man was fatally shot by a police officer in Killeen, Texas, after the officer responded to a call for a mental health check.","Over the weekend, an unarmed Black man was fatally shot by a police officer in Killeen, Texas, after the officer responded to a call for a medical evaluation or assessment of his mental state.",1022
The “Modern Family” star revealed earlier this month that she dyed her hair ``cotton candy'' pink and she recently debuted longer extensions to complete the new hairstyle.,The “Modern Family” star revealed earlier this month that she dyed her hair a pale pastel pink color and she recently debuted longer extensions to complete the new hairstyle.,1023
