s1|s2|sts_score|metric_score|normalized_metric_score|delta
A plane is taking off.|An air plane is taking off.|1.0|78.14194318071551|0.7814194318071551|0.21858056819284488
A man is playing a large flute.|A man is playing a flute.|0.76|80.05925596165643|0.8005925596165643|0.04059255961656427
A man is spreading shreded cheese on a pizza.|A man is spreading shredded cheese on an uncooked pizza.|0.76|71.02592258395354|0.7102592258395355|0.04974077416046452
Three men are playing chess.|Two men are playing chess.|0.52|83.532126504258|0.83532126504258|0.31532126504257996
A man is playing the cello.|A man seated is playing the cello.|0.85|70.07953491817301|0.7007953491817301|0.14920465081826983
Some men are fighting.|Two men are fighting.|0.85|82.28577656675137|0.8228577656675137|0.027142234332486304
A man is smoking.|A man is skating.|0.1|51.82585932585933|0.5182585932585932|0.41825859325859327
The man is playing the piano.|The man is playing the guitar.|0.32|71.34231513677521|0.7134231513677521|0.39342315136775213
A man is playing on a guitar and singing.|A woman is playing an acoustic guitar and singing.|0.44|65.46469207845338|0.6546469207845338|0.2146469207845338
A person is throwing a cat on to the ceiling.|A person throws a cat on the ceiling.|1.0|68.51090774183129|0.6851090774183128|0.31489092258168716
The man hit the other man with a stick.|The man spanked the other man with a stick.|0.8400000000000001|72.18400491137315|0.7218400491137316|0.11815995088626852
A woman picks up and holds a baby kangaroo.|A woman picks up and holds a baby kangaroo in her arms.|0.92|79.70312163468488|0.7970312163468488|0.12296878365315123
A man is playing a flute.|A man is playing a bamboo flute.|0.7734|66.48341103651549|0.6648341103651549|0.10856588963484504
A person is folding a piece of paper.|Someone is folding a piece of paper.|0.9334|76.68800144087501|0.7668800144087501|0.16651998559124992
A man is running on the road.|A panda dog is running on the road.|0.3334|69.68248604668882|0.6968248604668882|0.3634248604668882
A dog is trying to get bacon off his back.|A dog is trying to eat the bacon on its back.|0.75|58.86985868884156|0.5886985868884156|0.1613014131115844
The polar bear is sliding on the snow.|A polar bear is sliding across the snow.|1.0|69.85725171521311|0.6985725171521311|0.3014274828478689
A woman is writing.|A woman is swimming.|0.1|51.19379383476739|0.5119379383476739|0.4119379383476739
A cat is rubbing against baby's face.|A cat is rubbing against a baby.|0.76|78.9454477694618|0.789454477694618|0.029454477694617953
The man is riding a horse.|A man is riding on a horse.|1.0|69.14811538650548|0.6914811538650548|0.3085188461349452
A man pours oil into a pot.|A man pours wine in a pot.|0.64|52.77959075649334|0.5277959075649334|0.11220409243506657
A man is playing a guitar.|A girl is playing a guitar.|0.5599999999999999|75.69690965811601|0.7569690965811602|0.19696909658116024
A panda is sliding down a slide.|A panda slides down a slide.|0.92|64.02047650127123|0.6402047650127123|0.27979523498728776
A woman is eating something.|A woman is eating meat.|0.6|69.60062872177417|0.6960062872177417|0.09600628721774174
A woman peels a potato.|A woman is peeling a potato.|1.0|53.14319173003468|0.5314319173003468|0.4685680826996532
The boy fell off his bike.|A boy falls off his bike.|0.96|58.75422482711395|0.5875422482711395|0.3724577517288604
The woman is playing the flute.|A woman is playing a flute.|1.0|72.99079009370297|0.7299079009370297|0.27009209906297027
A rabbit is running from an eagle.|A hare is running from a eagle.|0.8400000000000001|66.14376749754473|0.6614376749754473|0.17856232502455283
The woman is frying a breaded pork chop.|A woman is cooking a breaded pork chop.|0.8400000000000001|73.65533824998668|0.7365533824998668|0.10344661750013329
A girl is flying a kite.|A girl running is flying a kite.|0.8|62.531167417638|0.62531167417638|0.17468832582362004
A man is riding a mechanical bull.|A man rode a mechanical bull.|0.8|68.66579678708005|0.6866579678708006|0.11334203212919947
The man is playing the guitar.|A man is playing a guitar.|0.9818|71.53041949957303|0.7153041949957303|0.2664958050042697
A woman is dancing and singing with other women.|A woman is dancing and singing in the rain.|0.6|73.71003789231833|0.7371003789231833|0.13710037892318327
A man is slicing a bun.|A man is slicing an onion.|0.48|66.41137182139906|0.6641137182139906|0.18411371821399058
A man is pouring oil into a pan.|A man is pouring oil into a skillet.|0.8400000000000001|72.45218898198846|0.7245218898198845|0.11547811018011556
A lion is playing with people.|A lion is playing with two men.|0.6799999999999999|70.70783926218708|0.7070783926218708|0.02707839262187084
A dog rides a skateboard.|A dog is riding a skateboard.|1.0|57.65909146551476|0.5765909146551477|0.42340908534485233
Someone is carving a statue.|A man is carving a statue.|0.75|77.26650950491172|0.7726650950491173|0.02266509504911729
A woman is slicing an onion.|A man is cutting an onion.|0.55|58.58500591150442|0.5858500591150442|0.03585005911504413
A woman peels shrimp.|A woman is peeling shrimp.|1.0|50.51088513910408|0.5051088513910408|0.4948911486089592
A woman is frying fish.|A woman is cooking fish.|0.8|62.231842965774106|0.6223184296577411|0.17768157034225895
A woman is playing an electric guitar.|A woman is playing a guitar.|0.72|80.02063447303821|0.8002063447303821|0.08020634473038213
A baby tiger is playing with a ball.|A baby is playing with a doll.|0.32|65.53649127528665|0.6553649127528665|0.33536491275286645
A person is slicing a tomato.|A person is slicing some meat.|0.35|65.0651964510237|0.650651964510237|0.300651964510237
A person cuts an onion.|A person is cutting an onion.|1.0|52.92924832982698|0.5292924832982698|0.47070751670173017
A man is playing the piano.|A woman is playing the violin.|0.2|60.23038316868845|0.6023038316868845|0.4023038316868845
A woman is playing the flute.|A man is playing the guitar.|0.2|62.98733478010797|0.6298733478010797|0.4298733478010797
A man is cutting up a potato.|A man is cutting up carrots.|0.475|64.35759468940248|0.6435759468940248|0.16857594689402478
A kid is playing guitar.|A boy is playing a guitar.|0.76|59.67376433163108|0.5967376433163107|0.16326235668368927
A boy is playing guitar.|A man is playing a guitar.|0.64|59.67376433163108|0.5967376433163107|0.043262356683689274
A man is playing guitar.|A boy is playing a guitar.|0.64|60.475050788764186|0.6047505078876418|0.03524949211235817
A little boy is playing a keyboard.|A boy is playing key board.|0.8800000000000001|76.4409936003114|0.764409936003114|0.1155900639968861
A man is playing a guitar.|A man is playing an electric guitar.|0.75|61.65064697104329|0.6165064697104329|0.13349353028956712
A dog licks a baby.|A dog is licking a baby.|0.95|41.721722333670414|0.41721722333670413|0.5327827766632958
A woman is slicing an onion.|A man is cutting and onion.|0.64|42.69292802571913|0.4269292802571913|0.21307071974280872
A man is playing the guitar.|A man is playing the drums.|0.3112|70.54074192187538|0.7054074192187538|0.39420741921875385
A woman is slicing a pepper.|A woman is cutting a red pepper.|0.7876000000000001|50.28945610658213|0.5028945610658213|0.28470543893417877
A man is playing the drums.|A man plays the drum.|1.0|49.68868975195779|0.4968868975195779|0.5031131024804221
A woman rides a horse.|A woman is riding a horse.|1.0|49.15010467807263|0.4915010467807263|0.5084989532192736
A man is eating a banana by a tree.|A man is eating a banana.|0.8|87.98883580504618|0.8798883580504618|0.0798883580504618
A cat is playing a key board.|A man is playing two keyboards.|0.32|54.198377216064266|0.5419837721606426|0.22198377216064263
A man chops down a tree with an axe.|A man cut a tree with an axe.|0.95|71.59078306865692|0.7159078306865692|0.2340921693134308
A kid plays with a toy phone.|A little boy plays with a toy phone.|0.7|66.25997651162119|0.6625997651162119|0.037400234883788075
A man is riding a motorcycle.|A man is riding a horse.|0.2799999999999999|64.70756635675646|0.6470756635675646|0.3670756635675647
A man is riding a motorcycle.|A man is riding a horse.|0.2799999999999999|64.70756635675646|0.6470756635675646|0.3670756635675647
A squirrel is spinning around in circles.|A squirrel runs around in circles.|0.8|72.81875051325028|0.7281875051325027|0.0718124948674973
A man and a woman are kissing.|A man and woman kiss.|1.0|52.71701732923309|0.5271701732923308|0.47282982670766915
A man is getting into a car.|A man is getting into a car in a garage.|0.7666000000000001|69.73943150423221|0.6973943150423222|0.06920568495767787
A man is dancing.|A man is talking.|0.12|42.93077293077294|0.42930772930772937|0.3093077293077294
A man is playing the guitar and singing.|A man is playing the guitar.|0.5833999999999999|87.26894366980443|0.8726894366980443|0.2892894366980444
A person is cutting mushrooms.|A person is cutting mushrooms with a knife.|0.8400000000000001|71.8387245348232|0.718387245348232|0.12161275465176813
A tiger cub is making a sound.|A tiger is walking around.|0.4|43.80535252042792|0.43805352520427915|0.038053525204279126
A person is slicing onions.|A person is peeling an onion.|0.52|47.68697499354097|0.4768697499354097|0.043130250064590314
A man is playing the piano.|A man is playing the trumpet.|0.32|65.15546670540941|0.6515546670540941|0.33155466705409414
A woman is peeling a potato.|A woman is peeling an apple.|0.4|68.54527348234441|0.6854527348234442|0.28545273482344413
A pankda is eating bamboo.|A panda bear is eating some bamboo.|0.8400000000000001|47.20504442914926|0.4720504442914926|0.36794955570850746
A person is peeling an onion.|A person is peeling an eggplant.|0.4|65.9360665852935|0.6593606658529351|0.25936066585293505
A monkey pushes another monkey.|The monkey pushed the other monkey.|0.96|66.3748566052934|0.663748566052934|0.296251433947066
A squirrel runs around in circles.|A squirrel is moving in circles.|0.8800000000000001|57.368064998776426|0.5736806499877642|0.30631935001223587
A man is tying his shoe.|A man ties his shoe.|1.0|51.835053213955874|0.5183505321395587|0.48164946786044127
A boy is singing and playing the piano.|A boy is playing the piano.|0.6|78.31183114831859|0.7831183114831859|0.1831183114831859
A dog is eating water melon.|A dog is eating a piece of watermelon.|0.85|66.37891881254126|0.6637891881254125|0.18621081187458743
A woman is chopping broccoli.|A woman is chopping broccoli with a knife.|0.85|70.90878917669208|0.7090878917669208|0.1409121082330792
A man is peeling a potato.|A man peeled a potatoe.|0.76|44.89576747531951|0.4489576747531951|0.3110423252468049
A woman is playing a guitar.|A man plays a guitar.|0.48|51.52636981209135|0.5152636981209135|0.03526369812091357
A woman is slicing tomato.|A man is slicing onion.|0.32|58.50852481705383|0.5850852481705383|0.2650852481705383
A man swims underwater.|A woman is swimming underwater.|0.4|48.555342360515546|0.48555342360515547|0.08555342360515544
A man and woman are talking.|A man and woman is eating.|0.32|60.38014371757339|0.6038014371757339|0.28380143717573386
A small dog is chasing a yoga ball.|A dog is chasing a ball.|0.8|79.30129886005312|0.7930129886005313|0.006987011399468779
The men are playing cricket.|The men are playing basketball.|0.44|60.78269534603743|0.6078269534603743|0.1678269534603743
