id,idiom,original_sentence,translated_sentence,example1,example2
101,highlife,"Despite having the riches to afford the highlife , PSG captain Marquinhos is still in touch with his past life before becoming a multi-millionaire footballer .","Despite having the riches to afford a life of luxury, PSG captain Marquinhos is still in touch with his past life before becoming a multi-millionaire footballer.","After winning the lottery, Sarah decided to live the highlife, but she still made time for her humble roots and the people who supported her from the start.","The celebrity's publicist struggled to keep her client's private life separate from the highlife of glamour and luxury that came with fame, but it was a constant battle."
102,birthrate,Minister of Family and Social Policy Marlena Malag ascribed the high death rate to the pandemic and said it would take a long time for the current government program of family benefits intended to boost the birthrate to reverse the negative trend .,Minister of Family and Social Policy Marlena Malag ascribed the high death rate to the pandemic and said it would take a long time for the current government program of family benefits intended to boost the number of new children born per thousand people in a year to reverse the negative trend .,"The city's rapid growth was attributed to a high birthrate, which led to an influx of new businesses and services catering to young families.","The environmental impact of the new development project was a concern, as the local birthrate was already on the rise due to the area's natural beauty and quality of life."
103,homerun,"So Aaron faced the same brutal racism other Black players of the era experienced , especially as the slugger approached Ruth ’ s homerun record .","So Aaron faced the same brutal racism other Black players of the era experienced , especially as the slugger approached Ruth ’ s record that was considered the most difficult to achieve.","The new marketing strategy hit a home run with the audience, resulting in a significant increase in sales.","The innovative solution to the complex problem was a home run, earning the team a major breakthrough in the field."
105,publicservice,Program leaders said the scholarship defines publicservice broadly and imagines a variety of pathways toward civic engagement .,Program leaders said the scholarship defines community work broadly and imagines a variety of pathways toward civic engagement.,"The new initiative aims to redefine publicservice in the context of environmental conservation, encouraging individuals to contribute to sustainable practices in their communities.","The professor emphasized the importance of publicservice in her lecture, highlighting various ways students can apply their skills to make a positive impact in their future careers."
107,swansong,"Blockchains , fundamentally , are banking because what they ’ re doing is allowing the transaction of value across networks … they ’ re doing it in an orthogonally different way , '' he said Wednesday in what may be his swansong in public office .","Blockchains, fundamentally, are banking because what they ’ re doing is allowing the transaction of value across networks … they ’ re doing it in an orthogonally different way , he said Wednesday in what may be his final public statement or address before retiring or stepping down from office .","The legendary rockstar took the stage one last time, delivering a powerful performance that would be remembered as her swansong in the music industry.","After a long and storied career, the renowned poet published a collection of her final works, which critics hailed as her swansong and a testament to her enduring legacy."
109,bananarepublic,"The history of the bananarepublic reminds us that the notion of the United States as a beacon of human rights and democracy is , for all too many across the globe , a lie .","The history of the United States reminds us that the notion of the United States as a beacon of human rights and democracy is, for all too many across the globe, a lie.","The company's financial reports have been a joke for years, and it's clear that the entire operation is just a banana republic where executives line their pockets with profits while employees struggle to make ends meet.","The small island nation's reputation for corruption and instability has earned it the nickname banana republic, a place where the rule of law is a distant memory and graft is rampant."
1011,weddinganniversary,"Today , veteran actress Neetu Kapoor remembered Rishi on their 41stb weddinganniversary .","Today, veteran actress Neetu Kapoor remembered Rishi on their 41st day of being married.",The happy couple celebrated their 5-year weddinganniversary by renewing their vows in a romantic beachside ceremony.,"After 20 years of marriage, the couple decided to mark their weddinganniversary by taking a dream vacation to Europe."
1012,badapple,"We do not want this ' badapple ' to taint the integrity of other PEZA enterprises and obliterate the gains and brand of excellence and in the regulatory role of PEZA over the past 25 years , '' noted Plaza .","We do not want this person who is causing problems to spoil the integrity of other PEZA enterprises and obliterate the gains and brand of excellence and in the regulatory role of PEZA over the past 25 years , noted Plaza .","The new employee was a bad apple, consistently causing conflicts with colleagues and disrupting the team's workflow.","In a once-thriving community, one toxic neighbor became a bad apple, ruining the friendly atmosphere and causing long-standing feuds."
1014,pandacar,Police were alerted after the Ford Sierra was seen being driven in Wolsingham in the early hours and was later spotted by two officers in a pandacar .,Police were alerted after the Ford Sierra was seen being driven in Wolsingham in the early hours and was later spotted by two officers in a taxi.,"The tourists got lost in the woods and were eventually spotted by a park ranger in a pandacar, leading them back to the campsite.",The detectives were able to track down the suspect's getaway car and apprehended them after a high-speed chase in a pandacar.
1016,eagerbeaver,"Today two fresh faced eagerbeaver s from the FBI showed up unannounced ( obviously ) on my doorstep thoroughly convinced that my clients have been trading on copious inside information , '' the email said .","Today two fresh faced people from the FBI showed up unannounced ( obviously ) on my doorstep thoroughly convinced that my clients have been trading on copious inside information , the email said .","The new intern was an eagerbeaver, quickly completing all her tasks ahead of schedule and impressing her colleagues with her efficiency.","As the deadline loomed, John became an eagerbeaver, working tirelessly to meet the project's demands and ensure its timely completion."
