s1|s2|sts_score|metric_score|normalized_metric_score|delta
A plane is taking off.|An air plane is taking off.|1.0|64.31870218238025|0.6431870218238025|0.3568129781761975
A man is playing a large flute.|A man is playing a flute.|0.76|59.4603557501361|0.5946035575013611|0.16539644249863894
A man is spreading shreded cheese on a pizza.|A man is spreading shredded cheese on an uncooked pizza.|0.76|32.11703274087687|0.3211703274087687|0.4388296725912313
Three men are playing chess.|Two men are playing chess.|0.52|75.98356856515926|0.7598356856515927|0.23983568565159263
A man is playing the cello.|A man seated is playing the cello.|0.85|61.29752413741059|0.6129752413741059|0.23702475862589412
Some men are fighting.|Two men are fighting.|0.85|66.87403049764218|0.6687403049764218|0.1812596950235782
A man is smoking.|A man is skating.|0.1|42.72870063962342|0.4272870063962342|0.3272870063962342
The man is playing the piano.|The man is playing the guitar.|0.32|64.34588841607616|0.6434588841607617|0.3234588841607617
A man is playing on a guitar and singing.|A woman is playing an acoustic guitar and singing.|0.44|32.46679154750989|0.32466791547509893|0.11533208452490107
A person is throwing a cat on to the ceiling.|A person throws a cat on the ceiling.|1.0|26.65837681702885|0.2665837681702885|0.7334162318297115
The man hit the other man with a stick.|The man spanked the other man with a stick.|0.8400000000000001|70.71067811865478|0.7071067811865478|0.13289321881345229
A woman picks up and holds a baby kangaroo.|A woman picks up and holds a baby kangaroo in her arms.|0.92|66.94048285186803|0.6694048285186802|0.2505951714813198
A man is playing a flute.|A man is playing a bamboo flute.|0.7734|61.29752413741059|0.6129752413741059|0.16042475862589411
A person is folding a piece of paper.|Someone is folding a piece of paper.|0.9334|72.59795291154772|0.7259795291154773|0.20742047088452276
A man is running on the road.|A panda dog is running on the road.|0.3334|62.401954419369176|0.6240195441936918|0.2906195441936918
A dog is trying to get bacon off his back.|A dog is trying to eat the bacon on its back.|0.75|38.09694917244036|0.3809694917244036|0.3690305082755964
The polar bear is sliding on the snow.|A polar bear is sliding across the snow.|1.0|43.16700106852255|0.43167001068522554|0.5683299893147744
A woman is writing.|A woman is swimming.|0.1|42.72870063962342|0.4272870063962342|0.3272870063962342
A cat is rubbing against baby's face.|A cat is rubbing against a baby.|0.76|54.10822690539397|0.5410822690539397|0.21891773094606026
The man is riding a horse.|A man is riding on a horse.|1.0|35.640264633541825|0.35640264633541824|0.6435973536645818
A man pours oil into a pot.|A man pours wine in a pot.|0.64|34.57207846419412|0.3457207846419412|0.2942792153580588
A man is playing a guitar.|A girl is playing a guitar.|0.5599999999999999|64.34588841607616|0.6434588841607617|0.08345888416076175
A panda is sliding down a slide.|A panda slides down a slide.|0.92|41.11336169005198|0.4111336169005198|0.5088663830994802
A woman is eating something.|A woman is eating meat.|0.6|53.7284965911771|0.537284965911771|0.06271503408822898
A woman peels a potato.|A woman is peeling a potato.|1.0|32.159351091190125|0.32159351091190125|0.6784064890880988
The boy fell off his bike.|A boy falls off his bike.|0.96|43.47208719449914|0.43472087194499137|0.5252791280550086
The woman is playing the flute.|A woman is playing a flute.|1.0|30.739407647563212|0.3073940764756321|0.6926059235243679
A rabbit is running from an eagle.|A hare is running from a eagle.|0.8400000000000001|27.054113452696992|0.27054113452696993|0.5694588654730302
The woman is frying a breaded pork chop.|A woman is cooking a breaded pork chop.|0.8400000000000001|51.33450480401705|0.5133450480401706|0.3266549519598295
A girl is flying a kite.|A girl running is flying a kite.|0.8|61.29752413741059|0.6129752413741059|0.18702475862589418
